unidade,categoria,ano_mes,faturamento_categoria,percentual_perda,valor_perda,meta_percentual
U001,Frios e Laticínios,2023-10,374898.3,4.91,18407.51,2.0
U001,Frios e Laticínios,2023-11,379127.53,5.94,22520.18,2.0
U001,Frios e Laticínios,2023-12,375599.96,5.49,20620.44,2.0
U001,Frios e Laticínios,2024-01,314750.35,5.21,16398.49,2.0
U001,Frios e Laticínios,2024-02,328000.72,4.72,15481.63,2.0
U001,Frios e Laticínios,2024-03,294302.1,3.9,11477.78,2.0
U001,Frios e Laticínios,2024-04,318086.51,4.09,13009.74,2.0
U001,Frios e Laticínios,2024-05,389812.98,4.46,17385.66,2.0
U001,Frios e Laticínios,2024-06,387807.89,3.99,15473.53,2.0
U001,Frios e Laticínios,2024-07,389657.21,4.46,17378.71,2.0
U001,Frios e Laticínios,2024-08,314104.7,3.57,11213.54,2.0
U001,Frios e Laticínios,2024-09,311661.21,3.27,10191.32,2.0
U001,Frios e Laticínios,2024-10,355618.26,3.1,11024.17,2.0
U001,Frios e Laticínios,2024-11,377873.37,3.63,13716.8,2.0
U001,Frios e Laticínios,2024-12,358592.03,3.06,10972.92,2.0
U001,Frios e Laticínios,2025-01,300148.64,3.17,9514.71,2.0
U001,Frios e Laticínios,2025-02,385005.65,2.88,11088.16,2.0
U001,Frios e Laticínios,2025-03,368585.88,2.81,10357.26,2.0
U001,Frios e Laticínios,2025-04,309790.81,2.41,7465.96,2.0
U001,Frios e Laticínios,2025-05,325630.34,2.46,8010.51,2.0
U001,Frios e Laticínios,2025-06,391370.46,2.29,8962.38,2.0
U001,Mercearia,2023-06,332714.07,1.94,6454.65,2.0
U001,Mercearia,2023-07,365979.29,2.21,8088.14,2.0
U001,Mercearia,2023-08,304495.37,1.7,5176.42,2.0
U001,Mercearia,2023-09,384499.07,1.65,6344.23,2.0
U001,Mercearia,2023-10,306463.64,1.95,5976.04,2.0
U001,Mercearia,2023-11,392260.04,1.9,7452.94,2.0
U001,Mercearia,2023-12,327470.49,1.75,5730.73,2.0
U001,Mercearia,2024-01,304901.2,1.64,5000.38,2.0
U001,Mercearia,2024-02,391291.56,1.34,5243.31,2.0
U001,Mercearia,2024-03,345591.19,1.58,5460.34,2.0
U001,Mercearia,2024-04,336048.97,1.65,5544.81,2.0
U001,Mercearia,2024-05,376404.54,1.56,5871.91,2.0
U001,Mercearia,2024-06,317331.58,1.23,3903.18,2.0
U001,Mercearia,2024-07,316169.77,1.22,3857.27,2.0
U001,Mercearia,2024-08,318106.09,1.27,4039.95,2.0
U001,Mercearia,2024-09,304910.44,1.16,3536.96,2.0
U001,Mercearia,2024-10,327817.79,1.27,4163.29,2.0
U001,Mercearia,2024-11,351430.16,1.07,3760.3,2.0
U001,Mercearia,2024-12,334693.19,1.15,3848.97,2.0
U001,Mercearia,2025-01,343026.75,1.09,3738.99,2.0
U001,Mercearia,2025-02,345274.96,0.93,3211.06,2.0
U001,Mercearia,2025-03,336698.56,0.74,2491.57,2.0
U001,Mercearia,2025-04,291833.06,0.73,2130.38,2.0
U001,Mercearia,2025-05,309155.66,0.82,2535.08,2.0
U001,Mercearia,2025-06,366019.88,0.69,2525.54,2.0
U001,Bebidas,2023-06,324958.16,1.53,4971.86,2.0
U001,Bebidas,2023-07,348559.74,1.47,5123.83,2.0
U001,Bebidas,2023-08,302342.68,1.54,4656.08,2.0
U001,Bebidas,2023-09,316987.99,1.4,4437.83,2.0
U001,Bebidas,2023-10,370861.14,1.25,4635.76,2.0
U001,Bebidas,2023-11,349206.45,1.3,4539.68,2.0
U001,Bebidas,2023-12,385284.48,1.35,5201.34,2.0
U001,Bebidas,2024-01,354431.44,1.19,4217.73,2.0
U001,Bebidas,2024-02,344108.04,1.18,4060.47,2.0
U001,Bebidas,2024-03,337955.57,1.2,4055.47,2.0
U001,Bebidas,2024-04,340598.02,1.1,3746.58,2.0
U001,Bebidas,2024-05,363348.13,1.19,4323.84,2.0
U001,Bebidas,2024-06,388338.57,1.13,4388.23,2.0
U001,Bebidas,2024-07,348978.56,0.9,3140.81,2.0
U001,Bebidas,2024-08,377828.55,1.06,4004.98,2.0
U001,Bebidas,2024-09,303938.26,0.79,2401.11,2.0
U001,Bebidas,2024-10,298890.46,0.84,2510.68,2.0
U001,Bebidas,2024-11,298949.56,0.75,2242.12,2.0
U001,Bebidas,2024-12,372061.99,0.81,3013.7,2.0
U001,Bebidas,2025-01,307314.51,0.81,2489.25,2.0
U001,Bebidas,2025-02,359340.67,0.73,2623.19,2.0
U001,Bebidas,2025-03,382234.23,0.58,2216.96,2.0
U001,Bebidas,2025-04,314014.75,0.69,2166.7,2.0
U001,Bebidas,2025-05,332392.14,0.64,2127.31,2.0
U001,Bebidas,2025-06,393243.92,0.52,2044.87,2.0
U001,Congelados,2023-06,308036.51,3.3,10165.2,2.0
U001,Congelados,2023-07,344462.23,2.86,9851.62,2.0
U001,Congelados,2023-08,311562.31,2.7,8412.18,2.0
U001,Congelados,2023-09,365706.94,2.61,9544.95,2.0
U001,Congelados,2023-10,348416.6,2.29,7978.74,2.0
U001,Congelados,2023-11,293288.43,2.55,7478.85,2.0
U001,Congelados,2023-12,355603.93,2.39,8498.93,2.0
U001,Congelados,2024-01,298041.34,2.44,7272.21,2.0
U001,Congelados,2024-02,372517.34,2.69,10020.72,2.0
U001,Congelados,2024-03,302205.9,2.59,7827.13,2.0
U001,Congelados,2024-04,295500.5,2.03,5998.66,2.0
U001,Congelados,2024-05,319245.88,2.28,7278.81,2.0
U001,Congelados,2024-06,334860.43,1.8,6027.49,2.0
U001,Congelados,2024-07,375666.41,2.18,8189.53,2.0
U001,Congelados,2024-08,306792.13,1.73,5307.5,2.0
U001,Congelados,2024-09,350118.34,2.01,7037.38,2.0
U001,Congelados,2024-10,300630.4,1.8,5411.35,2.0
U001,Congelados,2024-11,362215.43,1.4,5071.02,2.0
U001,Congelados,2024-12,298876.88,1.5,4483.15,2.0
U001,Congelados,2025-01,356685.21,1.65,5885.31,2.0
U001,Congelados,2025-02,300042.09,1.5,4500.63,2.0
U001,Congelados,2025-03,298281.18,1.43,4265.42,2.0
U001,Congelados,2025-04,338102.42,1.34,4530.57,2.0
U001,Congelados,2025-05,348315.17,1.08,3761.8,2.0
U001,Congelados,2025-06,318979.86,1.18,3763.96,2.0
U002,Hortifruti,2023-06,259219.16,8.0,20737.53,2.0
U002,Hortifruti,2023-07,227014.83,8.07,18320.1,2.0
U002,Hortifruti,2023-08,222457.86,7.65,17018.03,2.0
U002,Hortifruti,2023-09,242639.41,7.53,18270.75,2.0
U002,Hortifruti,2023-10,277161.29,7.56,20953.39,2.0
U002,Hortifruti,2023-11,257149.69,7.29,18746.21,2.0
U002,Hortifruti,2023-12,245340.08,6.81,16707.66,2.0
U002,Hortifruti,2024-01,237891.76,6.24,14844.45,2.0
U002,Hortifruti,2024-02,275123.34,6.02,16562.43,2.0
U002,Hortifruti,2024-03,233186.64,6.91,16113.2,2.0
U002,Hortifruti,2024-04,290672.45,6.51,18922.78,2.0
U002,Hortifruti,2024-05,281745.27,5.57,15693.21,2.0
U002,Hortifruti,2024-06,256757.26,5.95,15277.06,2.0
U002,Hortifruti,2024-07,248895.21,6.42,15979.07,2.0
U002,Hortifruti,2024-08,271625.79,5.6,15211.04,2.0
U002,Hortifruti,2024-09,245008.64,6.12,14994.53,2.0
U002,Hortifruti,2024-10,273090.25,5.61,15320.36,2.0
U002,Hortifruti,2024-11,249790.97,5.05,12614.44,2.0
U002,Hortifruti,2024-12,222767.12,4.4,9801.75,2.0
U002,Hortifruti,2025-01,224027.19,3.88,8692.25,2.0
U002,Hortifruti,2025-02,238288.67,4.42,10532.36,2.0
U002,Hortifruti,2025-03,225088.83,3.49,7855.6,2.0
U002,Hortifruti,2025-04,285727.2,4.01,11457.66,2.0
U002,Hortifruti,2025-05,240320.57,3.57,8579.44,2.0
U002,Hortifruti,2025-06,241178.8,2.91,7018.3,2.0
U002,Açougue,2023-06,230723.97,6.42,14812.48,2.0
U002,Açougue,2023-07,238878.75,6.22,14858.26,2.0
U002,Açougue,2023-08,293602.35,7.0,20552.16,2.0
U002,Açougue,2023-09,237428.73,6.06,14388.18,2.0
U002,Açougue,2023-10,242450.84,6.61,16026.0,2.0
U002,Açougue,2023-11,218653.89,5.38,11763.58,2.0
U002,Açougue,2023-12,255186.79,5.25,13397.31,2.0
U002,Açougue,2024-01,234075.6,5.27,12335.78,2.0
U002,Açougue,2024-02,218953.33,5.1,11166.62,2.0
U002,Açougue,2024-03,225495.26,4.57,10305.13,2.0
U002,Açougue,2024-04,221785.74,4.6,10202.14,2.0
U002,Açougue,2024-05,242041.72,3.91,9463.83,2.0
U002,Açougue,2024-06,263745.0,4.04,10655.3,2.0
U002,Açougue,2024-07,276470.28,4.25,11749.99,2.0
U002,Açougue,2024-08,273805.21,4.23,11581.96,2.0
U002,Açougue,2024-09,248619.84,4.3,10690.65,2.0
U002,Açougue,2024-10,294536.24,3.49,10279.31,2.0
U002,Açougue,2024-11,274434.87,3.14,8617.25,2.0
U002,Açougue,2024-12,221949.37,3.47,7701.64,2.0
U002,Açougue,2025-01,287378.41,3.47,9972.03,2.0
U002,Açougue,2025-02,275182.88,3.09,8503.15,2.0
U002,Açougue,2025-03,229318.02,3.07,7040.06,2.0
U002,Açougue,2025-04,257480.05,2.65,6823.22,2.0
U002,Açougue,2025-05,280646.56,2.7,7577.46,2.0
U002,Açougue,2025-06,263627.6,2.5,6590.69,2.0
U002,Padaria,2023-06,271251.93,8.38,22730.91,2.0
U002,Padaria,2023-07,236309.71,7.72,18243.11,2.0
U002,Padaria,2023-08,228838.62,6.1,13959.16,2.0
U002,Padaria,2023-09,226664.98,6.6,14959.89,2.0
U002,Padaria,2023-10,261657.82,7.36,19258.02,2.0
U002,Padaria,2023-11,266880.33,6.73,17961.05,2.0
U002,Padaria,2023-12,256316.99,6.62,16968.18,2.0
U002,Padaria,2024-01,280108.1,5.17,14481.59,2.0
U002,Padaria,2024-02,257372.05,6.31,16240.18,2.0
U002,Padaria,2024-03,269431.67,5.73,15438.43,2.0
U002,Padaria,2024-04,275409.39,4.76,13109.49,2.0
U002,Padaria,2024-05,224314.71,4.87,10924.13,2.0
U002,Padaria,2024-06,274834.42,4.71,12944.7,2.0
U002,Padaria,2024-07,275643.92,4.43,12211.03,2.0
U002,Padaria,2024-08,256676.05,5.32,13655.17,2.0
U002,Padaria,2024-09,255523.64,4.3,10987.52,2.0
U002,Padaria,2024-10,277737.69,4.48,12442.65,2.0
U002,Padaria,2024-11,268156.0,4.19,11235.74,2.0
U002,Padaria,2024-12,229944.22,3.36,7726.13,2.0
U002,Padaria,2025-01,275905.33,3.37,9298.01,2.0
U002,Padaria,2025-02,262370.19,3.24,8500.79,2.0
U002,Padaria,2025-03,223250.99,2.76,6161.73,2.0
U002,Padaria,2025-04,270411.55,2.82,7625.61,2.0
U002,Padaria,2025-05,270697.45,2.99,8093.85,2.0
U002,Padaria,2025-06,258418.47,2.46,6357.09,2.0
U002,Frios e Laticínios,2023-06,254546.16,5.94,15120.04,2.0
U002,Frios e Laticínios,2023-07,287511.14,5.17,14864.33,2.0
U002,Frios e Laticínios,2023-08,294026.84,5.16,15171.78,2.0
U002,Frios e Laticínios,2023-09,219921.77,6.23,13701.13,2.0
U002,Frios e Laticínios,2023-10,281820.68,5.28,14880.13,2.0
U002,Frios e Laticínios,2023-11,253243.36,5.92,14992.01,2.0
U002,Frios e Laticínios,2023-12,234758.87,4.68,10986.72,2.0
U002,Frios e Laticínios,2024-01,234826.11,5.51,12938.92,2.0
U002,Frios e Laticínios,2024-02,229505.71,4.81,11039.22,2.0
U002,Frios e Laticínios,2024-03,292068.54,4.57,13347.53,2.0
U002,Frios e Laticínios,2024-04,281845.31,3.89,10963.78,2.0
U002,Frios e Laticínios,2024-05,286986.51,4.22,12110.83,2.0
U002,Frios e Laticínios,2024-06,236421.02,4.3,10166.1,2.0
U002,Frios e Laticínios,2024-07,256073.71,4.35,11139.21,2.0
U002,Frios e Laticínios,2024-08,218848.41,3.19,6981.26,2.0
U002,Frios e Laticínios,2024-09,253344.37,3.55,8993.73,2.0
U002,Frios e Laticínios,2024-10,229425.99,3.2,7341.63,2.0
U002,Frios e Laticínios,2024-11,242954.59,3.09,7507.3,2.0
U002,Frios e Laticínios,2024-12,218705.76,3.39,7414.13,2.0
U002,Frios e Laticínios,2025-01,283302.83,3.13,8867.38,2.0
U002,Frios e Laticínios,2025-02,290036.48,2.44,7076.89,2.0
U002,Frios e Laticínios,2025-03,288120.85,2.75,7923.32,2.0
U002,Frios e Laticínios,2025-04,247285.7,2.27,5613.39,2.0
U002,Frios e Laticínios,2025-05,295621.14,2.19,6474.1,2.0
U002,Frios e Laticínios,2025-06,246397.58,2.16,5322.19,2.0
U002,Mercearia,2023-06,239797.69,1.96,4700.03,2.0
U002,Mercearia,2023-07,226417.62,1.68,3803.82,2.0
U002,Mercearia,2023-08,240605.22,2.08,5004.59,2.0
U002,Mercearia,2023-09,237805.05,2.08,4946.35,2.0
U002,Mercearia,2023-10,257988.57,1.66,4282.61,2.0
U002,Mercearia,2023-11,247372.66,1.57,3883.75,2.0
U002,Mercearia,2023-12,286786.28,1.9,5448.94,2.0
U002,Mercearia,2024-01,267240.53,1.77,4730.16,2.0
U002,Mercearia,2024-02,291139.66,1.76,5124.06,2.0
U002,Mercearia,2024-03,274081.31,1.53,4193.44,2.0
U002,Mercearia,2024-04,275067.19,1.26,3465.85,2.0
U002,Mercearia,2024-05,276634.39,1.38,3817.55,2.0
U002,Mercearia,2024-06,240650.36,1.41,3393.17,2.0
U002,Mercearia,2024-07,290065.66,1.12,3248.74,2.0
U002,Mercearia,2024-08,254997.06,1.1,2804.97,2.0
U002,Mercearia,2024-09,241542.4,1.13,2729.43,2.0
U002,Mercearia,2024-10,293885.71,1.21,3556.02,2.0
U002,Mercearia,2024-11,269176.78,1.0,2691.77,2.0
U002,Mercearia,2024-12,261564.82,0.96,2511.02,2.0
U002,Mercearia,2025-01,231479.93,0.94,2175.91,2.0
U002,Mercearia,2025-02,234607.31,0.82,1923.78,2.0
U002,Mercearia,2025-03,256917.27,0.97,2492.1,2.0
U002,Mercearia,2025-04,288482.87,0.74,2134.77,2.0
U002,Mercearia,2025-05,253282.66,0.87,2203.56,2.0
U002,Mercearia,2025-06,233414.26,0.62,1447.17,2.0
U002,Bebidas,2023-06,244950.83,1.32,3233.35,2.0
U002,Bebidas,2023-07,237018.34,1.28,3033.83,2.0
U002,Bebidas,2023-08,262513.37,1.32,3465.18,2.0
U002,Bebidas,2023-09,276402.16,1.54,4256.59,2.0
U002,Bebidas,2023-10,250499.59,1.3,3256.49,2.0
U002,Bebidas,2023-11,247643.93,1.31,3244.14,2.0
U002,Bebidas,2023-12,223358.88,1.2,2680.31,2.0
U002,Bebidas,2024-01,293221.43,1.13,3313.4,2.0
U002,Bebidas,2024-02,257404.81,1.04,2677.01,2.0
U002,Bebidas,2024-03,285135.02,1.18,3364.59,2.0
U002,Bebidas,2024-04,239478.75,1.0,2394.79,2.0
U002,Bebidas,2024-05,249409.84,0.97,2419.28,2.0
U002,Bebidas,2024-06,292161.36,1.0,2921.61,2.0
U002,Bebidas,2024-07,285908.73,1.07,3059.22,2.0
U002,Bebidas,2024-08,221058.78,0.8,1768.47,2.0
U002,Bebidas,2024-09,287668.02,0.95,2732.85,2.0
U002,Bebidas,2024-10,263867.9,0.84,2216.49,2.0
U002,Bebidas,2024-11,248774.48,0.69,1716.54,2.0
U002,Bebidas,2024-12,282259.74,0.87,2455.66,2.0
U002,Bebidas,2025-01,293572.89,0.81,2377.94,2.0
U002,Bebidas,2025-02,226983.55,0.64,1452.69,2.0
U002,Bebidas,2025-03,258868.2,0.58,1501.44,2.0
U002,Bebidas,2025-04,291200.7,0.64,1863.68,2.0
U002,Bebidas,2025-05,268509.71,0.6,1611.06,2.0
U002,Bebidas,2025-06,253850.79,0.57,1446.95,2.0
U002,Congelados,2023-06,221622.14,3.05,6759.48,2.0
U002,Congelados,2023-07,236513.07,3.17,7497.46,2.0
U002,Congelados,2023-08,268367.59,3.19,8560.93,2.0
U002,Congelados,2023-09,228443.16,2.59,5916.68,2.0
U002,Congelados,2023-10,267656.74,2.48,6637.89,2.0
U002,Congelados,2023-11,227221.66,2.75,6248.6,2.0
U002,Congelados,2023-12,259027.97,2.19,5672.71,2.0
U002,Congelados,2024-01,248509.18,2.49,6187.88,2.0
U002,Congelados,2024-02,264938.98,2.16,5722.68,2.0
U002,Congelados,2024-03,241831.64,1.94,4691.53,2.0
U002,Congelados,2024-04,292546.8,2.16,6319.01,2.0
U002,Congelados,2024-05,286748.28,2.2,6308.46,2.0
U002,Congelados,2024-06,236682.11,2.01,4757.31,2.0
U002,Congelados,2024-07,292675.95,1.8,5268.17,2.0
U002,Congelados,2024-08,242284.98,1.98,4797.24,2.0
U002,Congelados,2024-09,257012.5,1.53,3932.29,2.0
U002,Congelados,2024-10,250972.65,1.79,4492.41,2.0
U002,Congelados,2024-11,270053.1,1.5,4050.8,2.0
U002,Congelados,2024-12,236066.35,1.73,4083.95,2.0
U002,Congelados,2025-01,244649.69,1.25,3058.12,2.0
U002,Congelados,2025-02,271226.57,1.34,3634.44,2.0
U002,Congelados,2025-03,280059.24,1.18,3304.7,2.0
U002,Congelados,2025-04,257519.19,1.3,3347.75,2.0
U002,Congelados,2025-05,293389.1,1.03,3021.91,2.0
U002,Congelados,2025-06,281828.92,0.99,2790.11,2.0
U003,Hortifruti,2023-06,392756.93,8.27,32481.0,2.0
U003,Hortifruti,2023-07,402205.65,9.44,37968.21,2.0
U003,Hortifruti,2023-08,428026.89,9.67,41390.2,2.0
U003,Hortifruti,2023-09,392998.82,7.49,29435.61,2.0
U003,Hortifruti,2023-10,449823.55,7.83,35221.18,2.0
U003,Hortifruti,2023-11,383106.39,8.83,33828.29,2.0
U003,Hortifruti,2023-12,391664.88,7.3,28591.54,2.0
U003,Hortifruti,2024-01,382531.42,8.33,31864.87,2.0
U003,Hortifruti,2024-02,372017.39,6.1,22693.06,2.0
U003,Hortifruti,2024-03,479764.38,6.59,31616.47,2.0
U003,Hortifruti,2024-04,458493.06,7.32,33561.69,2.0
U003,Hortifruti,2024-05,484062.28,7.26,35142.92,2.0
U003,Hortifruti,2024-06,388137.28,5.76,22356.71,2.0
U003,Hortifruti,2024-07,460239.66,6.59,30329.79,2.0
U003,Hortifruti,2024-08,449712.41,4.8,21586.2,2.0
U003,Hortifruti,2024-09,412356.47,5.15,21236.36,2.0
U003,Hortifruti,2024-10,386047.84,4.84,18684.72,2.0
U003,Hortifruti,2024-11,400260.83,4.13,16530.77,2.0
U003,Hortifruti,2024-12,487137.62,4.41,21482.77,2.0
U003,Hortifruti,2025-01,488263.44,3.88,18944.62,2.0
U003,Hortifruti,2025-02,410138.04,3.76,15421.19,2.0
U003,Hortifruti,2025-03,469972.45,4.26,20020.83,2.0
U003,Hortifruti,2025-04,370618.8,3.56,13194.03,2.0
U003,Hortifruti,2025-05,412206.14,3.37,13891.35,2.0
U003,Hortifruti,2025-06,389103.37,3.55,13813.17,2.0
U003,Açougue,2023-06,479613.43,6.24,29927.88,2.0
U003,Açougue,2023-07,417103.09,5.43,22648.7,2.0
U003,Açougue,2023-08,462857.31,6.72,31104.01,2.0
U003,Açougue,2023-09,368766.99,5.15,18991.5,2.0
U003,Açougue,2023-10,482581.29,5.04,24322.1,2.0
U003,Açougue,2023-11,460365.45,5.21,23985.04,2.0
U003,Açougue,2023-12,407880.37,6.09,24839.91,2.0
U003,Açougue,2024-01,487417.23,4.91,23932.19,2.0
U003,Açougue,2024-02,397993.6,5.27,20974.26,2.0
U003,Açougue,2024-03,404976.47,5.24,21220.77,2.0
U003,Açougue,2024-04,364770.64,4.42,16122.86,2.0
U003,Açougue,2024-05,482116.23,4.91,23671.91,2.0
U003,Açougue,2024-06,485560.73,4.56,22141.57,2.0
U003,Açougue,2024-07,394354.23,3.61,14236.19,2.0
U003,Açougue,2024-08,487299.98,4.01,19540.73,2.0
U003,Açougue,2024-09,413980.47,4.38,18132.34,2.0
U003,Açougue,2024-10,419563.47,3.41,14307.11,2.0
U003,Açougue,2024-11,483612.78,3.5,16926.45,2.0
U003,Açougue,2024-12,467473.07,3.01,14070.94,2.0
U003,Açougue,2025-01,470068.53,3.38,15888.32,2.0
U003,Açougue,2025-02,442361.26,3.22,14244.03,2.0
U003,Açougue,2025-03,405370.56,2.66,10782.86,2.0
U003,Açougue,2025-04,464860.54,2.52,11714.49,2.0
U003,Açougue,2025-05,389654.37,2.14,8338.6,2.0
U003,Açougue,2025-06,396082.39,2.45,9704.02,2.0
U003,Padaria,2023-06,368639.62,6.52,24035.3,2.0
U003,Padaria,2023-07,406168.93,7.41,30097.12,2.0
U003,Padaria,2023-08,477875.31,8.12,38803.48,2.0
U003,Padaria,2023-09,398343.17,7.9,31469.11,2.0
U003,Padaria,2023-10,376682.9,5.85,22035.95,2.0
U003,Padaria,2023-11,455542.01,6.48,29519.12,2.0
U003,Padaria,2023-12,394396.67,6.18,24373.71,2.0
U003,Padaria,2024-01,444039.55,5.93,26331.55,2.0
U003,Padaria,2024-02,460454.19,6.18,28456.07,2.0
U003,Padaria,2024-03,449711.81,6.26,28151.96,2.0
U003,Padaria,2024-04,472397.72,4.85,22911.29,2.0
U003,Padaria,2024-05,437170.83,4.94,21596.24,2.0
U003,Padaria,2024-06,459180.1,4.87,22362.07,2.0
U003,Padaria,2024-07,396098.03,4.42,17507.53,2.0
U003,Padaria,2024-08,383998.57,4.3,16511.94,2.0
U003,Padaria,2024-09,438636.1,4.97,21800.21,2.0
U003,Padaria,2024-10,415208.95,4.03,16732.92,2.0
U003,Padaria,2024-11,429513.15,4.64,19929.41,2.0
U003,Padaria,2024-12,468228.37,3.53,16528.46,2.0
U003,Padaria,2025-01,491694.3,3.81,18733.55,2.0
U003,Padaria,2025-02,425326.64,3.03,12887.4,2.0
U003,Padaria,2025-03,472357.25,3.54,16721.45,2.0
U003,Padaria,2025-04,369475.1,3.41,12599.1,2.0
U003,Padaria,2025-05,379613.57,2.65,10059.76,2.0
U003,Padaria,2025-06,489381.24,2.38,11647.27,2.0
U003,Frios e Laticínios,2023-06,483879.48,6.15,29758.59,2.0
U003,Frios e Laticínios,2023-07,475644.94,5.61,26683.68,2.0
U003,Frios e Laticínios,2023-08,397707.63,5.59,22231.86,2.0
U003,Frios e Laticínios,2023-09,485875.98,5.97,29006.8,2.0
U003,Frios e Laticínios,2023-10,440933.19,4.72,20812.05,2.0
U003,Frios e Laticínios,2023-11,392268.7,5.37,21064.83,2.0
